id,region,address,developer,lat,lon,class_desc,plan_ready100perc_date,floors,flats,square,object_problem,wall_material,infrastructure_index,parking_count,energy_eff,price_avg,ceiling_height,guest_parking_count
17170,47,"город Кудрово, улица Центральная",РАЗВИТИЕ ТЕРРИТОРИЙ ПЕТЕРБУРГСКАЯ НЕДВИЖИМОСТЬ,59.9006,30.5199,Другое,2017-12-27,26.0,594.0,18690.36,0,Другое,7,0.0,B,,,
17228,47,"Кудрово, улица Английская, д. 3, корпус 4",РАЗВИТИЕ ТЕРРИТОРИЙ ПЕТЕРБУРГСКАЯ НЕДВИЖИМОСТЬ,59.9026,30.5202,Другое,2018-03-27,26.0,348.0,3995.27,0,Другое,7,0.0,B,,,
17166,47,"город Кудрово, улица Центральная",РАЗВИТИЕ ТЕРРИТОРИЙ ПЕТЕРБУРГСКАЯ НЕДВИЖИМОСТЬ,59.9007,30.5166,Другое,2016-12-30,26.0,351.0,19824.34,0,Другое,7,270.0,C,,,
17230,47,"Кудрово, улица Английская, д. 3, корпус 5",РАЗВИТИЕ ТЕРРИТОРИЙ ПЕТЕРБУРГСКАЯ НЕДВИЖИМОСТЬ,59.9026,30.5202,Другое,2018-03-27,13.0,119.0,3995.27,0,Другое,7,0.0,B,,,
17225,47,"д, улица Столичная, д. 6, корпус 3",РАЗВИТИЕ ТЕРРИТОРИЙ ПЕТЕРБУРГСКАЯ НЕДВИЖИМОСТЬ,59.9017,30.5163,Другое,2016-12-29,22.0,291.0,9289.8,0,Другое,7,0.0,C,,,
17167,47,"город Кудрово, улица Центральная",РАЗВИТИЕ ТЕРРИТОРИЙ ПЕТЕРБУРГСКАЯ НЕДВИЖИМОСТЬ,59.9007,30.5166,Другое,2016-12-30,,168.0,8919.6,0,Другое,7,287.0,C,,,
17231,47,"Кудрово, улица Английская, д. 3, корпус 6",РАЗВИТИЕ ТЕРРИТОРИЙ ПЕТЕРБУРГСКАЯ НЕДВИЖИМОСТЬ,59.9026,30.5202,Другое,2018-03-27,13.0,131.0,4739.01,0,Другое,7,0.0,B,,,
17232,47,"Кудрово, улица Английская, д. 3, корпус 7",РАЗВИТИЕ ТЕРРИТОРИЙ ПЕТЕРБУРГСКАЯ НЕДВИЖИМОСТЬ,59.9026,30.5202,Другое,2017-12-27,13.0,154.0,5471.74,0,Другое,7,0.0,B,,,
3296,47,"п Бугры, Бульвар Воронцовский, д. 5, корпус 5",САМОЛЕТ ЛО,60.0552,30.4152,Типовой,2018-12-29,13.0,1002.0,36459.0,0,Монолит-кирпич,8,0.0,D,68602.0,,
3306,47,"п Бугры, Бульвар Воронцовский, д. 5, корпус 4",САМОЛЕТ ЛО,60.0546,30.4191,Типовой,2018-12-29,13.0,1002.0,36459.0,0,Монолит-кирпич,7,0.0,D,66579.0,,
16454,47,п Бугры,САМОЛЕТ ЛО,60.0566,30.4196,Типовой,2019-12-12,13.0,1654.0,58603.03,0,Монолит-кирпич,7,0.0,D,80455.0,,
24835,47,"п Щеглово, улица Магистральная, д. 1,2,3",СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК АЛГОРИТМ ДЕВЕЛОПМЕНТ,60.0252,30.7498,Типовой,2020-02-17,8.0,301.0,13923.63,0,Монолит-кирпич,3,0.0,B,57240.0,,
37724,47,"п Щеглово, д. 4",СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК АЛГОРИТМ ДЕВЕЛОПМЕНТ,60.0274,30.7535,Комфорт,2021-07-30,8.0,105.0,4813.76,0,Монолит-кирпич,3,0.0,A,82292.0,"2,75 - 2,77",18.0
45587,47,"п Щеглово, д. 42",СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК АЛГОРИТМ ДЕВЕЛОПМЕНТ,60.0303,30.754,Комфорт,2022-09-30,8.0,63.0,3316.43,0,Другое,3,0.0,B,,"2,76",0.0
