id,region,address,developer,lat,lon,class_desc,plan_ready100perc_date,floors,flats,square,object_problem,wall_material,transport_dist_index,infrastructure_index,parking_count,energy_eff,price_avg,ceiling_height,guest_parking_count
39040,77,"район Обручевский, улица Обручева, вл. 23",СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ТЕКТА-ОБРУЧЕВА,55.659,37.5312,Бизнес,2023-12-31,37.0,1106.0,71666.7,0,Монолит-кирпич,7.0,9,655.0,A,297476.0,"3 - 3,8",0.0
45404,77,"г Москва, улица Новодачная",СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ТЕХНОСИТИ,55.9226,37.5337,Бизнес,2023-12-31,21.0,0.0,0.0,0,Другое,3.0,7,78.0,A,,,78.0
3425,77,"Городское поселение Московский, корпус 9",СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ТИРОН,55.6183,37.4074,Типовой,2018-12-11,26.0,192.0,11829.7,0,Монолит-кирпич,4.0,5,0.0,A,,,
3420,77,"Городское поселение Московский, корпус 8",СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ТИРОН,55.6189,37.4081,Типовой,2018-12-11,26.0,216.0,11753.8,0,Монолит-кирпич,3.0,5,0.0,A,,,
9058,77,"Городское поселение Московский, корпус 3",СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ТИРОН,55.6194,37.4153,Типовой,2018-10-26,26.0,192.0,11631.8,0,Другое,4.0,5,0.0,A+,,,
9056,77,"Городское поселение Московский, корпус 1",СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ТИРОН,55.6196,37.4172,Типовой,2018-10-26,26.0,216.0,11652.3,0,Другое,5.0,5,0.0,A+,,,
9057,77,"Городское поселение Московский, корпус 2",СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ТИРОН,55.6195,37.4163,Типовой,2018-10-26,26.0,192.0,11631.8,0,Другое,4.0,5,0.0,A+,,,
9055,77,"Городское поселение Московский, корпус 4",СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ТИРОН,55.6189,37.4144,Типовой,2018-12-26,26.0,498.0,22947.4,0,Другое,4.0,5,0.0,A+,,,
9082,77,"Городское поселение Московский, корпус 5",СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ТИРОН,55.6189,37.413,Типовой,2018-12-26,26.0,629.0,30359.4,0,Другое,4.0,5,0.0,A+,,,
3314,77,"Городское поселение Московский, корпус 7, строение 1,2,3",СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ТИРОН,55.6186,37.4105,Типовой,2019-08-09,26.0,1134.0,53869.1,0,Монолит-кирпич,4.0,5,297.0,A,,,
3280,77,"г Москва, поселение Московский, в районе д. Саларьево, корпус 13",СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ТИРОН,55.6172,37.4108,Типовой,2019-11-15,26.0,1106.0,62285.7,0,Блоки,4.0,5,264.0,A,109665.0,,
7611,77,"г Москва, пос. Московский, в районе дер. Саларьево, корпус 14",СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ТИРОН,55.617,37.4079,Типовой,2020-03-25,26.0,1139.0,60983.4,0,Кирпич,4.0,5,242.0,A,113868.0,,
7612,77,"г Москва, п Московский, в районе д. Саларьево, корпус 15",СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ТИРОН,55.6161,37.4076,Типовой,2020-03-25,25.0,258.0,12196.2,0,Другое,4.0,5,0.0,A,122506.0,,
7613,77,"г Москва, пос. Московский, в районе дер. Саларьево, корпус 16",СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ТИРОН,55.6154,37.4076,Типовой,2020-03-25,25.0,257.0,12171.6,0,Другое,3.0,5,0.0,A,124205.0,,
6307,77,"г Москва, п. Московский, д. Саларьево, корпус 18",СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ТИРОН,55.6168,37.4171,Типовой,2020-12-30,26.0,1277.0,66514.9,0,Панель,3.0,5,272.0,A,124116.0,,
11332,77,"г Москва, п. Московский, д. Саларьево, корпус 21",СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ТИРОН,55.6144,37.4124,Типовой,2020-12-30,26.0,312.0,15072.8,0,Другое,4.0,5,0.0,A,123203.0,,
11329,77,"г Москва, п. Московский, д. Саларьево, строение 19",СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ТИРОН,55.6165,37.4147,Типовой,2020-12-30,26.0,264.0,12519.7,0,Другое,3.0,5,0.0,A,125754.0,,
11330,77,"г Москва, поселок Московский, д. Саларьево, корпус 22",СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ТИРОН,55.6134,37.4119,Типовой,2020-12-30,25.0,276.0,14467.8,0,Другое,4.0,5,0.0,A,122164.0,,
11331,77,"г Москва, д. Саларьево, корпус 23",СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ТИРОН,55.613,37.4117,Типовой,2020-12-30,25.0,299.0,14447.1,0,Другое,4.0,5,0.0,A,128413.0,,
26336,77,"г Николо-Хованское, корпус 38",СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ТИРОН,55.601,37.4121,Типовой,2021-03-30,16.0,126.0,6962.8,0,Другое,4.0,1,0.0,A,128512.0,"2,6",16.0
26334,77,"г Николо-Хованское, корпус 40",СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ТИРОН,55.6004,37.4135,Типовой,2021-03-30,16.0,140.0,6955.2,0,Другое,3.0,1,0.0,A,137938.0,"2,6",15.0
26335,77,"г Николо-Хованское, корпус 39",СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ТИРОН,55.6008,37.4128,Типовой,2021-03-30,16.0,126.0,6962.8,0,Другое,4.0,1,0.0,A,132487.0,"2,6",16.0
20001,77,"г Москва, поселение Сосенское, вблизи д. Николо-Хованское, корпус 29",СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ТИРОН,55.6029,37.412,Типовой,2021-06-30,17.0,150.0,7398.0,0,Другое,4.0,1,0.0,A,139561.0,"2,6",16.0
20006,77,"г Москва, поселение Сосенское, вблизи д. Николо-Хованское, корпус 30",СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ТИРОН,55.6026,37.4128,Типовой,2021-06-30,17.0,135.0,7410.0,0,Другое,4.0,1,0.0,A,122909.0,"2,6",16.0
11334,77,"г Москва, п. Сосенское, д. Николо-Хованское, корпус 25",СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ТИРОН,55.6063,37.4116,Типовой,2021-03-01,17.0,155.0,7675.7,0,Другое,4.0,4,0.0,A,128646.0,"2,6 - 3,4",18.0
20000,77,"г Москва, поселение Сосенское, вблизи д. Николо-Хованское, корпус 28",СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ТИРОН,55.6033,37.4112,Типовой,2021-07-06,17.0,135.0,7464.6,0,Другое,3.0,1,0.0,A,134366.0,"2,6",17.0
20007,77,"г Москва, поселение Сосенское, вблизи д. Николо-Хованское, корпус 31",СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ТИРОН,55.6039,37.4116,Типовой,2021-08-27,17.0,150.0,7456.8,0,Другое,3.0,2,0.0,A,142175.0,"2,6",17.0
20008,77,"г Москва, поселение Сосенское, вблизи д. Николо-Хованское, корпус 33",СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ТИРОН,55.6043,37.4125,Типовой,2021-08-27,17.0,135.0,7464.6,0,Другое,3.0,2,0.0,A,139396.0,"2,6",17.0
11333,77,"г Москва, п. Сосенское, д. Николо-Хованское, корпус 24",СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ТИРОН,55.6064,37.4108,Типовой,2021-03-01,17.0,201.0,9671.7,0,Другое,4.0,4,0.0,A,129257.0,"2,6 - 3,4",22.0
