id,region,address,developer,lat,lon,class_desc,plan_ready100perc_date,flats,square,object_problem,wall_material,transport_dist_index,infrastructure_index,parking_count,energy_eff,floors,ceiling_height,price_avg,guest_parking_count
38269,78,"пр-кт Московский, д. 72",СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ЕВРОИНВЕСТ МОСКОВСКИЙ,59.9064,30.3189,Бизнес,2023-06-30,173.0,11244.46,0,Монолит-кирпич,10.0,9,0.0,B,11.0,"2,98",292943.0,21.0
45376,78,"г Санкт-Петербург, пр-кт Энгельса",СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ЕВРОИНВЕСТ СВЕТЛАНОВСКИЙ,60.0076,30.3271,Комфорт,2024-12-31,388.0,21472.2,0,Монолит-кирпич,6.0,9,125.0,B,13.0,"2,74",,33.0
45146,78,"г Санкт-Петербург, пр-кт Энгельса",СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ЕВРОИНВЕСТ СВЕТЛАНОВСКИЙ,60.008,30.3338,Комфорт,2024-12-31,583.0,31075.36,0,Монолит-кирпич,6.0,9,203.0,B,13.0,"2,74",324423.0,48.0
38415,78,п Парголово,СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ЕВРОПЕЙСКАЯ ПЕРСПЕКТИВА,60.0709,30.2613,Комфорт,2023-09-30,662.0,27651.78,0,Монолит-кирпич,5.0,6,0.0,C,17.0,"2,55 - 3,65",144837.0,39.0
38418,78,п Парголово,СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ЕВРОПЕЙСКАЯ ПЕРСПЕКТИВА,60.0713,30.2572,Комфорт,2023-12-31,662.0,27650.07,0,Монолит-кирпич,5.0,6,0.0,C,17.0,"2,55 - 3,65",145031.0,222.0
38416,78,п Парголово,СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ЕВРОПЕЙСКАЯ ПЕРСПЕКТИВА,60.0706,30.2624,Типовой,2023-09-30,0.0,0.0,0,Монолит-кирпич,5.0,6,0.0,Не нормируется,6.0,,,0.0
38417,78,п Парголово,СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ЕВРОПЕЙСКАЯ ПЕРСПЕКТИВА,60.0711,30.2589,Комфорт,2023-09-30,475.0,20532.67,0,Монолит-кирпич,5.0,6,0.0,C,17.0,"2,55 - 3,65",151044.0,27.0
44948,78,"г Санкт-Петербург, пр-кт Большой Сампсониевский, д. 77/7, литера А",СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ЖК ГЕОРГ ЛАНДРИН,59.9877,30.3343,Элитный,2023-06-30,44.0,3502.35,0,Кирпич,8.0,9,0.0,B,7.0,"3,53 - 3,72",103857.0,0.0
44066,78,"г Сестрорецк, ул Инструментальщиков, д. 9а, литера А",СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ЗЕЛЕНЫЙ БЕРЕГ,60.0868,29.9413,Бизнес,2024-03-31,0.0,0.0,0,Монолит,,6,188.0,A,6.0,,255401.0,41.0
40684,78,"г Санкт-Петербург, ул Лиственная, д. 22а, литера Е",СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ИНВЕСТИЦИОННАЯ КОМПАНИЯ СТРОИТЕЛЬНЫЙ ТРЕСТ,60.0291,30.3366,Бизнес,2023-09-30,348.0,29168.74,0,Другое,3.0,9,126.0,D,14.0,"2,7",202544.0,47.0
45327,78,"г Санкт-Петербург, ул Магнитогорская, д. 51, литера З",СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ИНВЕСТПРОЕКТ,59.939,30.4341,Бизнес,2024-12-31,0.0,0.0,0,Монолит-кирпич,8.0,8,0.0,B,16.0,,,151.0
41403,78,"п Шушары, ул Школьная",СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ИНТЕРГРУПП СПБ,59.8099,30.356,Комфорт,2023-12-31,965.0,31375.28,0,Другое,1.0,7,103.0,B,13.0,"2,72",151865.0,303.0
40751,78,"г Санкт-Петербург, район Выборгский, улица Береговая",СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ИНТЕСКОМ,60.0581,30.2912,Бизнес,2022-12-31,59.0,3319.4,0,Монолит-кирпич,6.0,7,31.0,C,6.0,"2,88 - 2,93",,10.0
38914,78,"г Санкт-Петербург, район Выборгский, улица Береговая",СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ИНТЕСКОМ,60.059,30.2904,Бизнес,2023-09-30,16.0,852.8,0,Монолит-кирпич,6.0,6,0.0,D,4.0,"3,04",,11.0
37193,78,"г Санкт-Петербург, район Выборгский, ул Кантемировская, д. 11, литера А",СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК КАНТЕМИРОВСКАЯ,59.9827,30.3378,Типовой,2022-09-30,0.0,0.0,0,Другое,10.0,1,397.0,Не нормируется,9.0,,81647.0,397.0
37191,78,"г Санкт-Петербург, район Выборгский, ул Кантемировская, д. 11, литера А",СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК КАНТЕМИРОВСКАЯ,59.9823,30.3379,Типовой,2022-09-30,176.0,7084.8,0,Другое,10.0,1,0.0,A,14.0,"2,68 - 3,32",188182.0,13.0
