id,region,address,developer,lat,lon,class_desc,plan_ready100perc_date,floors,flats,square,object_problem,wall_material,infrastructure_index,parking_count,energy_eff,price_avg,ceiling_height,guest_parking_count,transport_dist_index
12037,78,"г Санкт-Петербург, ул Крыленко, д. 1, литера А, корпус 6",БАЗИС,59.8916,30.4528,Типовой,2017-12-29,17.0,437.0,15573.4,0,Другое,9,0.0,B,,,,7.0
28185,78,"г Санкт-Петербург, район Красносельский, шоссе Петергофское",БАЛТИЙСКАЯ ЖЕМЧУЖИНА,59.8603,30.1521,Бизнес,2022-03-18,10.0,664.0,38088.48,0,Монолит-кирпич,8,423.0,B,140906.0,"2,8",1.0,2.0
14339,78,"г Санкт-Петербург, район Красносельский, проспект Патриотов",БАЛТИЙСКАЯ ЖЕМЧУЖИНА,59.8583,30.1449,Комфорт,2020-12-03,24.0,526.0,28652.9,0,Монолит-кирпич,8,331.0,B,102362.0,,,2.0
14340,78,"г Санкт-Петербург, район Красносельский, проспект Патриотов",БАЛТИЙСКАЯ ЖЕМЧУЖИНА,59.8598,30.1449,Комфорт,2020-12-03,24.0,526.0,28652.9,0,Монолит-кирпич,8,353.0,B,110773.0,,,2.0
2504,78,"город Санкт-Петербург, район Красносельский, Шоссе Петергофское",БАЛТИЙСКАЯ ЖЕМЧУЖИНА,59.8567,30.1519,Комфорт,2019-06-25,13.0,936.0,61183.7,0,Монолит-кирпич,8,720.0,B,,,,2.0
13177,78,"г Санкт-Петербург, наб Октябрьская (восточнее дома 112, корпус 6, литера Б по Октябрьской набережной)",БАЛТИНВЕСТГРУПП,59.8671,30.5075,Комфорт,2018-12-21,23.0,1210.0,40273.02,0,Монолит-кирпич,4,0.0,B,73517.0,,,6.0
13187,78,"г Санкт-Петербург, наб Октябрьская, участок 1, (восточнее дома 112, корпус 6, литера Б по Октябрьской набережной)",БАЛТИНВЕСТГРУПП,59.8664,30.5123,Комфорт,2019-12-25,25.0,835.0,33273.4,0,Монолит-кирпич,4,0.0,B,72996.0,,,6.0
1961,78,"г Санкт-Петербург, набережная Октябрьская, участок 1, 2 (восточнее дома 112, корпус 6, литера Б по Октябрьской набережной)",БАЛТИНВЕСТГРУПП,59.8673,30.5106,Комфорт,2020-12-16,23.0,792.0,27013.24,0,Монолит-кирпич,4,0.0,B,82612.0,,,6.0
13128,78,"г Санкт-Петербург, район Московский, улица Типанова, д. 25, литера А, блок-секция 1",БАЛТИНВЕСТСТРОЙ,59.8537,30.3475,Бизнес,2019-03-06,29.0,392.0,21523.75,0,Другое,10,0.0,B,,,,8.0
11945,78,"г Санкт-Петербург, шоссе Петергофское, д. 76, литера А, корпус 29",БАЛТПРОДКОМ,59.8423,30.1179,Комфорт,2020-10-30,11.0,1523.0,68964.4,0,Монолит-кирпич,8,273.0,B,87717.0,"2,69 - 3,04",38.0,3.0
11833,78,"г Санкт-Петербург, Шоссе Петергофское",БАЛТПРОДКОМ,59.8423,30.1203,Комфорт,2019-05-13,9.0,995.0,43143.1,0,Монолит-кирпич,8,157.0,B,8670.0,,,4.0
11879,78,"г Санкт-Петербург, Шоссе Петергофское",БАЛТПРОДКОМ,59.8345,30.1193,Комфорт,2018-08-30,10.0,105.0,5659.5,0,Монолит-кирпич,9,0.0,B,,,,4.0
